"Zeit";"Einstrahlung auf die Horizontale ";"Diffusstrahlung auf die Horizontale ";"Außentemperatur ";"Netzeinspeisung ";"Netzbezug ";"Verbrauch ";"Einspeiseabregelung ";"Direkter Eigenverbrauch ";"Eigenverbrauch ";"Ladung des E-Fahrzeugs(PV-Anlage) ";"Ladung des E-Fahrzeugs(Netz) ";"Entladen des E-Fahrzeugs zur Verbrauchsdeckung ";"Entladen des E-Fahrzeugs ins Netz ";"Verluste durch Laden/Entladen ";"Ladung des E-Fahrzeugs (Gruppe 1) (PV-Anlage) ";"Ladung des E-Fahrzeugs (Gruppe 1) (Netz) ";"Entladen des E-Fahrzeugs zur Verbrauchsdeckung (Gruppe 1)  ";"Entladen des E-Fahrzeugs ins Netz (Gruppe 1)  ";"Verluste durch Laden/Entladen (Gruppe 1)  ";"Ladung des E-Fahrzeugs (Gruppe 2) (PV-Anlage) ";"Ladung des E-Fahrzeugs (Gruppe 2) (Netz) ";"Entladen des E-Fahrzeugs zur Verbrauchsdeckung (Gruppe 2)  ";"Entladen des E-Fahrzeugs ins Netz (Gruppe 2)  ";"Verluste durch Laden/Entladen (Gruppe 2)  ";"Ladung des E-Fahrzeugs (Gruppe 3) (PV-Anlage) ";"Ladung des E-Fahrzeugs (Gruppe 3) (Netz) ";"Entladen des E-Fahrzeugs zur Verbrauchsdeckung (Gruppe 3)  ";"Entladen des E-Fahrzeugs ins Netz (Gruppe 3)  ";"Verluste durch Laden/Entladen (Gruppe 3)  ";"Ladezustand (auf C10 bezogen) E-Fahrzeug 1 ";"Zyklenbelastung (Elektrofahrzeug 1) ";"Ladezustand (auf C10 bezogen) E-Fahrzeug 2 ";"Zyklenbelastung (Elektrofahrzeug 2) ";"Ladezustand (auf C10 bezogen) E-Fahrzeug 3 ";"Zyklenbelastung (Elektrofahrzeug 3) ";"Globalstrahlung horizontal ";"Abweichung vom Standardspektrum ";"Bodenreflexion (Albedo) ";"Ausrichtung und Neigung der Modulebene ";"Abschattung ";"Reflexion an Moduloberfläche ";"Einstrahlung auf die Modul-Rückseite ";"Globalstrahlung auf Modul ";"PV Globalstrahlung ";"Bifazialität ";"Verschmutzung ";"STC Konversion (Modul-Nennwirkungsgrad) ";"PV Nennenergie ";"Schwachlichtverhalten ";"Modulspezifische Teilabschattung ";"Abweichung von der Nenn-Modultemperatur ";"Dioden ";"Mismatch (Herstellerangaben) ";"Mismatch (Verschaltung/Abschattung) ";"Leistungsoptimierer (DC-Wandlung/Abregelung) ";"PV-Energie (DC) ohne Wechselrichter-Abregelung ";"Unterschreitung der DC-Startleistung ";"Abregelung wegen MPP-Spannungsbereich ";"Abregelung wegen max. DC-Strom ";"Abregelung wegen max. DC-Leistung ";"Abregelung wegen max. AC-Leistung/cos phi ";"MPP Anpassung ";"PV-Energie (DC) ";"Energie am WR-Eingang ";"Abweichung der Eingangs- von der Nennspannung ";"DC/AC-Wandlung ";"Eigenverbrauch (Standby oder Nacht) ";"Kabelverluste Gesamt ";"PV-Energie (AC) abzgl. Standby-Verbrauch ";"Eingespeiste Energie ";
;kWh/m²;kWh/m²;°C;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;-;0_1;-;0_1;-;0_1;kWh/m²;kWh/m²;kWh/m²;kWh/m²;kWh/m²;kWh/m²;kWh/m²;kWh/m²;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;

28.06. 06:00;0,11206;0,10489;13,65;0;499,32;656,36;0;157,04;157,04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,30913;0,022639;0,30913;0,022639;0,26967;0,021188;0,11206;-0,0011206;0,0010814;-0,0052266;-0,0014711;-0,0063984;0;0,098925;881,21;0;0;-704,41;176,8;-9,3274;-4,7526;4,941;-0,0029555;-3,3531;-1,3068;0;162,99;0;0;0;0;0;-0,31755;162,68;162,68;-0,43417;-5,2009;0;0;157,04;157,04;
28.06. 07:00;0,18716;0,17203;14,42;0;847,36;758,62;0;21,557;269,76;248,2;110,29;0;0;7,1699;2,7627E+08;1,9853E+08;0;0;9,496E+06;2,7627E+08;1,9853E+08;0;0;9,496E+06;3,4099E+08;0;0;0;6,8198E+06;0,45166;0,022639;0,45166;0,022639;1;0,021188;0,18716;-0,0018716;0,0018061;-0,0089556;-0,0023907;-0,009758;0;0,16599;1478,6;0;0;-1182;296,63;-9,3795;-7,516;5,8491;-0,039884;-5,7108;-2,4561;0;277,38;0;0;0;0;0;-0,33566;277,04;277,04;-0,76571;-6,5142;0;0;269,76;269,76;
28.06. 08:00;0,25215;0,23173;15,29;0;613,78;717,24;0;158,39;367,47;209,08;54,931;0;0;5,2801;3,7634E+08;9,8876E+07;0;0;9,5043E+06;3,7634E+08;9,8876E+07;0;0;9,5043E+06;0;0;0;0;0;0,58926;0,022639;0,58926;0,022639;0,99996;0,021188;0,25215;-0,0025215;0,0024332;-0,012356;-0,0032203;-0,012116;0;0,22437;1998,6;0;0;-1597,7;400,92;-8,6843;-9,6157;4,5555;-0,029333;-7,743;-2,8234;0;376,58;0;0;0;0;0;-0,37963;376,2;376,2;-1,0567;-7,6808;0;0;367,47;367,47;
28.06. 09:00;0,36869;0,31774;16,38;0;170,48;708,74;0;538,26;538,26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,58924;0,022639;0,58924;0,022639;0,99992;0,021188;0,36869;-0,0036869;0,0035578;-0,018929;-0,0042566;-0,016551;0;0,32883;2929,1;0;0;-2341,6;587,48;-6,8158;-12,338;-1,3724;-0,23689;-11,334;-4,7934;0;550,59;0;0;0;0;0;-0,53397;550,06;550,06;-1,5752;-10,219;0;0;538,26;538,26;
28.06. 10:00;0,40866;0,3575;17,31;0;92,545;690,54;0;598;598;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,58921;0,022639;0,58921;0,022639;0,99988;0,021188;0,40866;-0,0040866;0,0039435;-0,021384;-0,004833;-0,017576;0;0,36472;3248,9;0;0;-2597,3;651,59;-6,3987;-12,138;-6,0851;-0,051669;-12,538;-2,8227;0;611,55;0;0;0;0;0;-0,5901;610,96;610,96;-1,7477;-11,219;0;0;598;598;
28.06. 11:00;0,41167;0,37009;18;0;36,569;637,1;0;600,53;600,53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,58919;0,022639;0,58919;0,022639;0,99983;0,021188;0,41167;-0,0041167;0,0039726;-0,02157;-0,0050825;-0,017651;0;0,36722;3271,2;0;0;-2615,1;656,06;-6,5963;-12,516;-7,9276;-0,0062182;-12,58;-2,297;0;614,13;0;0;0;0;0;-0,59157;613,54;613,54;-1,7465;-11,265;0;0;600,53;600,53;
28.06. 12:00;0,43924;0,38915;18,61;5,7452;0;633,58;0;633,58;633,58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,58916;0,022639;0,58916;0,022639;0,99979;0,021188;0,43924;-0,0043924;0,0042386;-0,023116;-0,0053001;-0,018543;0;0,39213;3493;0;0;-2792,5;700,53;-6,3621;-13,066;-11,637;-0,0065493;-13,389;-2,3466;0;653,73;0;0;0;0;0;-0,62943;653,1;653,1;-1,8658;-11,906;0;0;639,33;639,33;
28.06. 13:00;0,41792;0,37363;19,04;0;132,53;739,72;0;607,19;607,19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,58914;0,022639;0,58914;0,022639;0,99975;0,021188;0,41792;-0,0041792;0,0040329;-0,021667;-0,0051151;-0,017912;0;0,37308;3323,3;0;0;-2656,8;666,54;-6,8632;-12,618;-10,872;-0,027189;-12,723;-2,5319;0;620,9;0;0;0;0;0;-0,59772;620,31;620,31;-1,7423;-11,375;0;0;607,19;607,19;
28.06. 14:00;0,37283;0,33745;19,26;0;169,07;709,86;0;540,79;540,79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,58912;0,022639;0,58912;0,022639;0,99971;0,021188;0,37283;-0,0037283;0,0035978;-0,019073;-0,0046514;-0,016468;0;0,33251;2961,9;0;0;-2367,8;594,08;-7,7064;-11,534;-7,7876;-0,021822;-11,341;-2,5372;0;553,16;0;0;0;0;0;-0,53223;552,62;552,62;-1,5608;-10,269;0;0;540,79;540,79;
28.06. 15:00;0,29957;0,27759;19,27;0;194,52;627,54;0;433,02;433,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,58909;0,022639;0,58909;0,022639;0,99967;0,021188;0,29957;-0,0029957;0,0028908;-0,015036;-0,0038738;-0,013739;0;0,26682;2376,8;0;0;-1900;476,75;-8,9725;-9,7759;-3,2113;-0,0091079;-9,0957;-2,4352;0;443,25;0;0;0;0;0;-0,42811;442,82;442,82;-1,2547;-8,5529;0;0;433,02;433,02;
28.06. 16:00;0,20772;0,1985;18,98;0;258,34;556,32;0;297,98;297,98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,58907;0,022639;0,58907;0,022639;0,99963;0,021188;0,20772;-0,0020772;0,0020045;-0,010091;-0,0028103;-0,009862;0;0,18488;1646,9;0;0;-1316,5;330,38;-10,173;-7,0747;0,69805;-0,00029831;-6,2767;-1,6178;0;305,94;0;0;0;0;0;-0,34717;305,59;305,59;-0,87246;-6,7387;0;0;297,98;297,98;
28.06. 17:00;0,1588;0,15106;18,32;0;404,15;629,12;0;224,97;224,97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,58904;0,022639;0,58904;0,022639;0,99958;0,021188;0,1588;-0,001588;0,0015324;-0,0075432;-0,0021343;-0,0078938;0;0,14117;1257,5;0;0;-1005,3;252,29;-10,295;-5,8282;2,142;-0,00022586;-4,7662;-1,4693;0;232,07;0;0;0;0;0;-0,32997;231,74;231,74;-0,64523;-6,1321;0;0;224,97;224,97;
28.06. 18:00;0,09211;0,08883;17,98;0;544,43;670,52;0;126,09;126,09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,58904;0,022639;0,58904;0,022639;0,99958;0,021188;0,09211;-0,0009211;0,00088885;-0,0042846;-0,0012623;-0,0047488;0;0,081782;728,5;0;0;-582,34;146,16;-9,5986;-3,4999;2,1636;-0,00013163;-2,7046;-0,74606;0;131,78;0;0;0;0;0;-0,29549;131,48;131,48;-0,36427;-5,0261;0;0;126,09;126,09;
28.06. 19:00;0,04024;0,039153;17,26;0;616,54;663,18;0;46,639;46,639;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,58904;0,022639;0,58904;0,022639;0,99958;0,021188;0,04024;-0,0004024;0,00038831;-0,0018171;-0,0005583;-0,0021863;0;0,035664;317,69;0;0;-253,94;63,748;-7,2335;-1,55;1,2897;-5,6467E-05;-1,1251;-0,24679;0;54,883;0;0;0;0;0;-0,16296;54,72;54,72;-0,138;-7,9422;0;0;46,639;46,639;
28.06. 20:00;0,00197;0,0019503;16,61;0;613,25;612,98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,58904;0,022639;0,58904;0,022639;0,99958;0,021188;0,00197;-1,97E-05;1,9011E-05;-9,505E-05;-2,795E-05;-9,2317E-05;0;0,001754;15,624;0;0;-12,49;3,1344;-1,301;-0,06808;0,052279;-2,4056E-06;-0,036353;-0,0079897;0;1,7733;-1,7733;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
28.06. 21:00;0;0;15,6;0;566,79;566,52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,58904;0,022639;0,58904;0,022639;0,99958;0,021188;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
28.06. 22:00;0;0;14,59;0;505,43;505,16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,58904;0,022639;0,58904;0,022639;0,99958;0,021188;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
28.06. 23:00;0;0;13,66;0;498,93;498,66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,58904;0,022639;0,58904;0,022639;0,99958;0,021188;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
29.06. 00:00;0;0;13;0;478,01;477,74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,58904;0,022639;0,58904;0,022639;0,99958;0,021188;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
29.06. 01:00;0;0;12,29;0;476,97;476,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,58904;0,022639;0,58904;0,022639;0,99958;0,021188;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
29.06. 02:00;0;0;11,91;0;446,33;446,06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,58904;0,022639;0,58904;0,022639;0,99958;0,021188;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
29.06. 03:00;0;0;11,65;0;371,01;370,74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,58904;0,022639;0,58904;0,022639;0,99958;0,021188;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
29.06. 04:00;0,00229;0,0022671;11,67;0;381,61;381,42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,58904;0,022639;0,58904;0,022639;0,99958;0,021188;0,00229;-2,29E-05;2,2097E-05;-0,00011049;-3,2492E-05;-0,00010731;0;0,0020389;18,162;0;0;-14,519;3,6436;-1,4359;-0,079139;0,10126;-2,9167E-06;-0,044595;-0,0088133;0;2,1764;-1,7618;0;0;0;0;-0,0032907;0,4113;0,4113;-0,00024125;-0,34056;-0,2639;0;-0,1934;0,070498;
29.06. 05:00;0,06735;0,058903;12,56;0;582,48;666,7;0;84,221;84,221;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,58904;0,022639;0,58904;0,022639;0,99958;0,021188;0,06735;-0,0006735;0,00064992;-0,002463;-0,00079618;-0,0069697;0;0,057098;508,62;0;0;-406,47;102,14;-7,9353;-4,5427;3,4401;-0,077904;-1,8605;-1,5582;0;89,607;0;0;0;0;0;-0,23662;89,37;89,37;-0,23295;-4,9162;0;0;84,221;84,221;
29.06. 06:00;0,08175;0,079628;12,97;0;567,51;681,06;0;113,55;113,55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,33466;0,022809;0,33466;0,022809;0,75646;0,021353;0,08175;-0,0008175;0,00078888;-0,0039076;-0,0011359;-0,004064;0;0,072614;646,83;0;0;-517,07;129,77;-8,7826;-3,0068;4,1579;-0,00012091;-2,4427;-0,5833;0;119,11;0;0;0;0;0;-0,28191;118,83;118,83;-0,3228;-4,9523;0;0;113,55;113,55;
29.06. 07:00;0,1238;0,12075;13,4;0;825,19;738,88;0;76,48;177,43;100,95;162,79;0;0;5,2749;1,8172E+08;2,9302E+08;0;0;9,4948E+06;1,8172E+08;2,9302E+08;0;0;9,4948E+06;0;0;0;0;0;0,47631;0,022809;0,47631;0,022809;0,75643;0,021353;0,1238;-0,001238;0,0011947;-0,0059636;-0,0017234;-0,0059256;0;0,11014;981,15;0;0;-784,32;196,83;-9,4405;-4,4271;5,489;-0,00018566;-3,769;-0,89877;0;183,78;0;0;0;0;0;-0,32104;183,46;183,46;-0,5058;-5,5236;0;0;177,43;177,43;
29.06. 08:00;0,20671;0,1977;14,2;0;403,96;706,32;0;302,36;302,36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,47629;0,022809;0,47629;0,022809;0,7564;0,021353;0,20671;-0,0020671;0,0019947;-0,010043;-0,0028;-0,0098;0;0,18399;1639;0;0;-1310,2;328,79;-9,1232;-7,4977;6,2079;-0,00030395;-6,3676;-1,6486;0;310,36;0;0;0;0;0;-0,35128;310,01;310,01;-0,86721;-6,7857;0;0;302,36;302,36;
29.06. 09:00;0,27238;0,25762;14,98;0;303,08;703,2;0;400,12;400,12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,47627;0,022809;0,47627;0,022809;0,75637;0,021353;0,27238;-0,0027238;0,0026284;-0,013414;-0,0036307;-0,012592;0;0,24265;2161,5;0;0;-1727,9;433,58;-8,2507;-9,3763;4,6352;-0,00039384;-8,4118;-2,4011;0;409,78;0;0;0;0;0;-0,39954;409,38;409,38;-1,1327;-8,1279;0;0;400,12;400,12;
29.06. 10:00;0,25708;0,24925;15,51;0;383,25;760,12;0;376,87;376,87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,47625;0,022809;0,47625;0,022809;0,75634;0,021353;0,25708;-0,0025708;0,0024808;-0,012573;-0,0035495;-0,011888;0;0,22898;2039,7;0;0;-1630,5;409,17;-8,6657;-8,7215;4,0666;-0,00038436;-7,9171;-1,7904;0;386,15;0;0;0;0;0;-0,38188;385,76;385,76;-1,0836;-7,8138;0;0;376,87;376,87;
29.06. 11:00;0,4141;0,37142;16,48;0;120,3;728,54;0;608,24;608,24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,47623;0,022809;0,47623;0,022809;0,7563;0,021353;0,4141;-0,004141;0,003996;-0,021737;-0,0050942;-0,017719;0;0,36941;3290,6;0;0;-2630,6;659,95;-5,9801;-12,547;-4,365;-0,0062345;-12,741;-2,3245;0;621,99;0;0;0;0;0;-0,59909;621,39;621,39;-1,754;-11,393;0;0;608,24;608,24;
29.06. 12:00;0,40495;0,36895;17,2;0;115,46;708,1;0;592,64;592,64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,47621;0,022809;0,47621;0,022809;0,75627;0,021353;0,40495;-0,0040495;0,0039077;-0,020861;-0,0051038;-0,017573;0;0,36127;3218,1;0;0;-2572,7;645,45;-6,4188;-12,557;-5,6406;-0,0062472;-12,417;-2,3416;0;606,07;0;0;0;0;0;-0,58343;605,49;605,49;-1,7147;-11,134;0;0;592,64;592,64;
29.06. 13:00;0,51446;0,41336;18,09;46,949;0;704,58;0;704,58;704,58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,47619;0,022809;0,47619;0,022809;0,75624;0,021353;0,51446;-0,0051446;0,0049645;-0,028526;-0,0052899;-0,019986;0;0,46048;4101,9;0;0;-3279,4;822,49;-5,133;-13,17;-17,745;-0,080506;-15,727;-2,4097;0;768,22;0;0;0;0;0;-0,73907;767,48;767,48;-2,1557;-13,797;0;0;751,53;751,53;
29.06. 14:00;0,57272;0,38267;18,98;112,98;0;721;0;721;721;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,47617;0,022809;0,47617;0,022809;0,75621;0,021353;0,57272;-0,0057272;0,0055267;-0,03418;-0,0042647;-0,020778;0;0,5133;4572,4;0;0;-3655,8;916,58;-5,1429;-11,416;-27,996;-0,055675;-17,439;-1,8994;0;852,63;0;0;0;0;0;-0,81766;851,81;851,81;-2,3737;-15,459;0;0;833,98;833,98;
29.06. 15:00;0,52843;0,32355;19,6;45,809;0;718,76;0;718,76;718,76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,47615;0,022809;0,47615;0,022809;0,75618;0,021353;0,52843;-0,0052843;0,0050993;-0,031907;-0,003357;-0,021468;0;0,47151;4200,2;0;0;-3358,1;842,01;-5,8216;-11,453;-24,354;-0,43636;-15,999;-2,3773;0;781,57;0;0;0;0;0;-0,74503;780,82;780,82;-2,1298;-14,122;0;0;764,57;764,57;
29.06. 16:00;0,34556;0,27295;19,69;0;203,84;700,2;0;496,36;496,36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,47613;0,022809;0,47613;0,022809;0,75615;0,021353;0,34556;-0,0034556;0,0033346;-0,017404;-0,0034518;-0,017554;0;0,30703;2735;0;0;-2186,4;548,6;-8,3447;-10,455;-6,8817;-0,37568;-10,451;-4,2441;0;507,84;0;0;0;0;0;-0,48471;507,36;507,36;-1,4377;-9,5639;0;0;496,36;496,36;
29.06. 17:00;0,2899;0,2036;19,64;0;238,15;641,04;0;402,89;402,89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,47611;0,022809;0,47611;0,022809;0,75611;0,021353;0,2899;-0,002899;0,0027975;-0,012234;-0,00236;-0,020267;0;0,25494;2270,9;0;0;-1815,2;455,77;-8,9568;-15,679;-3,1093;-0,64467;-8,5476;-6,203;0;412,63;0;0;0;0;0;-0,39745;412,23;412,23;-1,1934;-8,1435;0;0;402,89;402,89;
29.06. 18:00;0,22711;0,11096;19,38;0;283,71;569,8;0;286,09;286,09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,47611;0,022809;0,47611;0,022809;0,75611;0,021353;0,22711;-0,0022711;0,0021916;-0,002783;-0,00094514;-0,032783;0;0,19052;1697,1;0;0;-1355,8;341,33;-8,8712;-24,168;-0,48705;-0,72106;-6,1417;-6,7711;0;294,17;0;0;0;0;0;-0,338;293,84;293,84;-0,93096;-6,81;0;0;286,09;286,09;
29.06. 19:00;0,12201;0,041157;18,8;0;524,63;643,88;0;119,25;119,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,47611;0,022809;0,47611;0,022809;0,75611;0,021353;0,12201;-0,0012201;0,0011774;0,0087964;-0,00024472;-0,041163;0;0,089356;795,97;0;0;-634,44;161,53;-5,8486;-22,282;0,20268;-0,64155;-2,6592;-2,9905;0;127,31;0;-0,22104;0;0;0;-0,20376;126,89;126,89;-0,42143;-7,2122;0;0;119,25;119,25;
29.06. 20:00;0,01009;0,0099891;17,96;0;570,54;576,76;0;6,2243;6,2243;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,47611;0,022809;0,47611;0,022809;0,75611;0,021353;0,01009;-0,0001009;9,7367E-05;-0,00048684;-0,00014316;-0,00047283;0;0,0089837;80,025;0;0;-63,971;16,054;-3,7096;-0,35075;0,28338;-1,3447E-05;-0,24554;-0,043302;0;11,988;-0,055659;-0,006364;0;0;0;-0,040093;11,886;11,886;-0,029406;-5,6223;-0,01;0;6,2243;6,2343;
29.06. 21:00;0;0;16,56;0;586,21;585,94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,47611;0,022809;0,47611;0,022809;0,75611;0,021353;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
29.06. 22:00;0;0;15,16;0;577,99;577,72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,47611;0,022809;0,47611;0,022809;0,75611;0,021353;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
29.06. 23:00;0;0;13,84;0;508,69;508,42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,47611;0,022809;0,47611;0,022809;0,75611;0,021353;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
30.06. 00:00;0;0;12,79;0;497,09;496,82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,47611;0,022809;0,47611;0,022809;0,75611;0,021353;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
30.06. 01:00;0;0;11,63;0;490,71;490,44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,47611;0,022809;0,47611;0,022809;0,75611;0,021353;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
30.06. 02:00;0;0;11;0;400,95;400,68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,47611;0,022809;0,47611;0,022809;0,75611;0,021353;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
30.06. 03:00;0;0;10,54;0;378,49;378,22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,47611;0,022809;0,47611;0,022809;0,75611;0,021353;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
30.06. 04:00;0,00729;0,0072171;10,63;0;421,82;425,74;0;3,9175;3,9175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,47611;0,022809;0,47611;0,022809;0,75611;0,021353;0,00729;-7,29E-05;7,0347E-05;-0,00035174;-0,00010343;-0,00034161;0;0,0064907;57,818;0;0;-46,219;11,599;-2,9578;-0,25342;0,42742;-9,9722E-06;-0,1763;-0,032921;0;8,6059;-0,12801;-0,004825;0;0;0;-0,028747;8,4444;8,4444;-0,016035;-4,4861;-0,0247;0;3,9175;3,9422;
30.06. 05:00;0,09894;0,060773;11,75;0;573,74;676,2;0;102,46;102,46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,47611;0,022809;0,47611;0,022809;0,75611;0,021353;0,09894;-0,0009894;0,00095476;-0,00090251;-0,00063223;-0,023275;0;0,074096;660,03;0;0;-527,1;132,94;-7,347;-15,43;4,0885;-0,58825;-2,2732;-2,9014;0;108,48;0;0;0;0;0;-0,26493;108,22;108,22;-0,31906;-5,442;0;0;102,46;102,46;
30.06. 06:00;0,22085;0,11567;13,15;0;392,71;673,16;0;280,45;280,45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,47611;0,022809;0,47611;0,022809;0,75611;0,021353;0,22085;-0,0022085;0,0021312;-0,0074149;-0,0010488;-0,03075;0;0,18156;1617,3;0;0;-1292,6;324,73;-8,3213;-23,038;6,5409;-0,46439;-5,9889;-5,2081;0;288,25;0;0;0;0;0;-0,35581;287,89;287,89;-0,83462;-6,61;0;0;280,45;280,45;
