"Zeit";"Einstrahlung auf die Horizontale ";"Diffusstrahlung auf die Horizontale ";"Außentemperatur ";"Netzeinspeisung ";"Netzbezug ";"Verbrauch ";"Einspeiseabregelung ";"Direkter Eigenverbrauch ";"Eigenverbrauch ";"Ladung des E-Fahrzeugs(PV-Anlage) ";"Ladung des E-Fahrzeugs(Netz) ";"Entladen des E-Fahrzeugs zur Verbrauchsdeckung ";"Entladen des E-Fahrzeugs ins Netz ";"Verluste durch Laden/Entladen ";"Ladung des E-Fahrzeugs (Gruppe 1) (PV-Anlage) ";"Ladung des E-Fahrzeugs (Gruppe 1) (Netz) ";"Entladen des E-Fahrzeugs zur Verbrauchsdeckung (Gruppe 1)  ";"Entladen des E-Fahrzeugs ins Netz (Gruppe 1)  ";"Verluste durch Laden/Entladen (Gruppe 1)  ";"Ladung des E-Fahrzeugs (Gruppe 2) (PV-Anlage) ";"Ladung des E-Fahrzeugs (Gruppe 2) (Netz) ";"Entladen des E-Fahrzeugs zur Verbrauchsdeckung (Gruppe 2)  ";"Entladen des E-Fahrzeugs ins Netz (Gruppe 2)  ";"Verluste durch Laden/Entladen (Gruppe 2)  ";"Ladung des E-Fahrzeugs (Gruppe 3) (PV-Anlage) ";"Ladung des E-Fahrzeugs (Gruppe 3) (Netz) ";"Entladen des E-Fahrzeugs zur Verbrauchsdeckung (Gruppe 3)  ";"Entladen des E-Fahrzeugs ins Netz (Gruppe 3)  ";"Verluste durch Laden/Entladen (Gruppe 3)  ";"Ladezustand (auf C10 bezogen) E-Fahrzeug 1 ";"Zyklenbelastung (Elektrofahrzeug 1) ";"Ladezustand (auf C10 bezogen) E-Fahrzeug 2 ";"Zyklenbelastung (Elektrofahrzeug 2) ";"Ladezustand (auf C10 bezogen) E-Fahrzeug 3 ";"Zyklenbelastung (Elektrofahrzeug 3) ";"Globalstrahlung horizontal ";"Abweichung vom Standardspektrum ";"Bodenreflexion (Albedo) ";"Ausrichtung und Neigung der Modulebene ";"Abschattung ";"Reflexion an Moduloberfläche ";"Einstrahlung auf die Modul-Rückseite ";"Globalstrahlung auf Modul ";"PV Globalstrahlung ";"Bifazialität ";"Verschmutzung ";"STC Konversion (Modul-Nennwirkungsgrad) ";"PV Nennenergie ";"Schwachlichtverhalten ";"Modulspezifische Teilabschattung ";"Abweichung von der Nenn-Modultemperatur ";"Dioden ";"Mismatch (Herstellerangaben) ";"Mismatch (Verschaltung/Abschattung) ";"Leistungsoptimierer (DC-Wandlung/Abregelung) ";"PV-Energie (DC) ohne Wechselrichter-Abregelung ";"Unterschreitung der DC-Startleistung ";"Abregelung wegen MPP-Spannungsbereich ";"Abregelung wegen max. DC-Strom ";"Abregelung wegen max. DC-Leistung ";"Abregelung wegen max. AC-Leistung/cos phi ";"MPP Anpassung ";"PV-Energie (DC) ";"Energie am WR-Eingang ";"Abweichung der Eingangs- von der Nennspannung ";"DC/AC-Wandlung ";"Eigenverbrauch (Standby oder Nacht) ";"Kabelverluste Gesamt ";"PV-Energie (AC) abzgl. Standby-Verbrauch ";"Eingespeiste Energie ";
;kWh/m²;kWh/m²;°C;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;-;0_1;-;0_1;-;0_1;kWh/m²;kWh/m²;kWh/m²;kWh/m²;kWh/m²;kWh/m²;kWh/m²;kWh/m²;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;

01.01. 03:00;0;0;10,65;0;113,69;113,42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
01.01. 04:00;0;0;10,54;0;115,71;115,44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
01.01. 05:00;0;0;10,43;0;115,27;115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
01.01. 06:00;0;0;10,29;0;113,55;113,28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7456;0,000172;0,7456;0,000172;0,75688;0,000164;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
01.01. 07:00;0;0;10,23;0;115,85;115,58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,74557;0,000172;0,74557;0,000172;0,75685;0,000164;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
01.01. 08:00;0,00033;0,0003267;10,21;0;114,51;114,24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,74554;0,000172;0,74554;0,000172;0,75681;0,000164;0,00033;-3,3E-06;3,1833E-06;-1,5922E-05;-4,6833E-06;-1,5464E-05;0;0,00029382;2,6173;0;0;-2,0922;0,52506;-0,52506;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
01.01. 09:00;0,00634;0,006159;10,21;0;102,09;105,12;0;3,0328;3,0328;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,74551;0,000172;0,74551;0,000172;0,75678;0,000164;0,00634;-6,34E-05;6,1181E-05;-0,00026314;-8,8122E-05;-0,00034904;0;0,0056375;50,218;0;0;-40,14;10,078;-2,7176;-0,24414;0,37331;-8,4417E-06;-0,14978;-0,02986;0;7,3095;-0,18121;0;0;0;0;-0,024373;7,1039;7,1039;-0,012941;-4,0237;-0,0345;0;3,0328;3,0673;
01.01. 10:00;0,0142;0,013795;10,22;0;94,537;105,56;0;11,023;11,023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,74548;0,000172;0,74548;0,000172;0,75675;0,000164;0,0142;-0,000142;0,00013703;-0,00065656;-0,00019738;-0,00075059;0;0,012591;112,15;0;0;-89,652;22,502;-4,2335;-0,506;0,9289;-1,9739E-05;-0,37384;-0,074315;0;18,244;-0,081733;-0,0020321;0;0;0;-0,060265;18,1;18,1;-0,03611;-7,0306;-0,01;0;11,023;11,033;
01.01. 11:00;0,02093;0,02034;10,31;0;85,484;105,04;0;19,556;19,556;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,74545;0,000172;0,74545;0,000172;0,75672;0,000164;0,02093;-0,0002093;0,00020197;-0,0009779;-0,00029099;-0,0010728;0;0,018581;165,52;0;0;-132,31;33,207;-5,1204;-0,74463;1,42;-2,9669E-05;-0,57524;-0,1152;0;28,071;0;0;0;0;0;-0,090378;27,981;27,981;-0,059231;-8,3664;0;0;19,556;19,556;
01.01. 12:00;0,02511;0,024418;10,34;0;80,069;105,44;0;25,371;25,371;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,74542;0,000172;0,74542;0,000172;0,75669;0,000164;0,02511;-0,0002511;0,00024231;-0,0011711;-0,00034929;-0,0012732;0;0,022308;198,71;0;0;-158,85;39,867;-5,5655;-0,90014;1,7305;-3,5936E-05;-0,70264;-0,14587;0;34,284;0;0;0;0;0;-0,10846;34,175;34,175;-0,074831;-8,7297;0;0;25,371;25,371;
